Decimal Value,DNL,INL
0,0.0,0.0014569763687931998
1,-0.09159398001198471,-0.09013700364319151
2,-0.4432208592051414,-0.533357862848333
3,-1.0,-1.5333578628483329
4,-1.0,-2.533357862848333
5,5.953593471784919,3.4202356089365864
6,-1.0,2.4202356089365864
7,-1.0,1.4202356089365866
8,-1.0,0.42023560893658657
9,-1.0,-0.5797643910634135
10,-1.0,-1.5797643910634134
11,3.598000670598198,2.0182362795347846
12,-1.0,1.0182362795347848
13,-1.0,0.01823627953478472
14,-1.0,-0.9817637204652153
15,1.543697817084695,0.5619340966194796
16,-1.0,-0.43806590338052037
17,0.23493759756587096,-0.20312830581464944
18,-1.0,-1.2031283058146494
19,2.928109762172755,1.7249814563581058
20,-1.0,0.7249814563581057
21,-1.0,-0.2750185436418942
22,0.6147326724497231,0.33971412880782886
23,-1.0,-0.6602858711921712
24,0.6561435783222298,-0.00414229286994135
25,-1.0,-1.0041422928699413
26,2.8994294174695336,1.8952871245995924
27,-1.0,0.8952871245995923
28,-1.0,-0.1047128754004077
29,-1.0,-1.1047128754004076
30,1.897373292328083,0.7926604169276753
31,-0.8625245722005735,-0.0698641552728982
32,0.19835552524031752,0.1284913699674193
33,-0.13615094410449846,-0.0076595741370791455
34,-0.34123004156152437,-0.3488896156986035
35,-0.07659533035850374,-0.42548494605710724
36,0.5305207419562932,0.10503579589918592
37,-0.8990334803814827,-0.7939976844822968
38,1.4453652066736429,0.6513675221913461
39,-1.0,-0.34863247780865386
40,-1.0,-1.3486324778086538
41,2.754783903494282,1.406151425685628
42,-1.0,0.40615142568562795
43,-1.0,-0.5938485743143721
44,1.0963722366878876,0.5025236623735155
45,-0.7107089720495601,-0.2081853096760445
46,0.1824789058510412,-0.025706403825003294
47,-1.0,-1.0257064038250032
48,2.711104909137595,1.685398505312592
49,-1.0,0.6853985053125918
50,-0.9014478971549672,-0.21604939184237534
51,-0.17595223879468747,-0.3920016306370628
52,0.8023255393351232,0.4103239086980604
53,-1.0,-0.5896760913019397
54,0.6266584280278413,0.03698233672590172
55,-0.2816012636708852,-0.24461892694498352
56,-0.37378808593125956,-0.6184070128762431
57,0.6148058365943831,-0.0036011762818599254
58,0.1808692946687076,0.17726811838684767
59,-1.0,-0.8227318816131524
60,1.3927601866694612,0.5700283050563089
61,-0.2188264275602232,0.3512018774960857
62,-1.0,-0.6487981225039143
63,1.5668176867944408,0.9180195642905264
64,-1.0,-0.08198043570947351
65,-1.0,-1.0819804357094733
66,1.6613457616836556,0.5793653259741821
67,-0.317378530405256,0.2619867955689262
68,-0.4159306332502888,-0.15394383768136263
69,-1.0,-1.1539438376813627
70,2.003900286940108,0.8499564492587451
71,-0.9364203582982188,-0.08646390903947361
72,-1.0,-1.0864639090394734
73,1.5031648809479838,0.41670097190851035
74,-0.07337610799383654,0.3433248639146738
75,-0.21487556374908112,0.12844930016559267
76,-1.0,-0.8715506998344074
77,1.0089410838298383,0.13739038399543094
78,0.4089219335461747,0.5463123175416056
79,-0.5978898609975847,-0.05157754345597905
80,-1.0,-1.051577543455979
81,1.9339553646536363,0.8823778211976571
82,-1.0,-0.1176221788023429
83,0.3294656724550855,0.2118434936527426
84,0.04075995766186358,0.2526034513146062
85,-1.0,-0.7473965486853938
86,2.1026718822190738,1.35527533353368
87,-1.0,0.35527533353367996
88,-0.20690067198208906,0.14837466155159088
89,0.13799510590317166,0.28636976745476256
90,-0.34123004156152437,-0.05486027410676182
91,0.3771686947675905,0.3223084206608287
92,-0.3770073082958951,-0.05469888763506643
93,0.1873077393979785,0.13260885176291207
94,0.18562496407103235,0.31823381583394444
95,-0.07659533035850374,0.24163848547544067
96,-1.0,-0.7583615145245594
97,2.3542833756742,1.5959218611496406
98,-1.0,0.5959218611496405
99,-1.0,-0.4040781388503594
100,1.1408560366357574,0.7367778977853979
101,-1.0,-0.263222102214602
102,0.4511376450098801,0.18791554279527803
103,-1.0,-0.812084457204722
104,2.452835478519233,1.6407510213145111
105,-1.0,0.640751021314511
106,-1.0,-0.35924897868548894
107,0.6171470892231918,0.2578981105377029
108,0.2508142169551473,0.5087123274928501
109,-0.4588048220158246,0.049907505477025535
110,-0.4095653526656621,-0.3596578471886365
111,0.517790180787008,0.15813233359837145
112,-1.0,-0.8418676664016286
113,0.8746848783950791,0.0328172119934506
114,0.7943506475681628,0.8271678595616133
115,-1.0,-0.17283214043838666
116,-1.0,-1.1728321404383866
117,2.689667814754811,1.5168356743164246
118,-1.0,0.5168356743164245
119,-0.37144683330241934,0.1453888410140052
120,0.16104181146825747,0.3064306524822627
121,-0.4071509358921458,-0.10072028340988311
122,-1.0,-1.100720283409883
123,2.814412681384953,1.7136923979750698
124,-1.0,0.7136923979750697
125,-0.5025569805171874,0.21113541745788225
126,-0.4484886776200241,-0.23735326016214184
127,0.3748274421387501,0.13747418197660824
128,0.07119624183672335,0.2086704238133316
129,0.07997593919483448,0.2886463630081661
130,-0.7163426111876802,-0.42769624817951407
131,0.30012685044998566,-0.12756939772952844
132,-0.3197929471787405,-0.4473623449082689
133,0.8460776978364859,0.39871535292821697
134,-0.48828997231024474,-0.08957461938202778
135,0.942215383908034,0.8526407645260062
136,-1.0,-0.14735923547399374
137,-1.0,-1.1473592354739937
138,2.2350989840375663,1.0877397485635727
139,-1.0,0.08773974856357263
140,0.006080153097220986,0.09381990166079361
141,0.39070406152805814,0.48452396318885177
142,-0.051207372164577825,0.43331659102427394
143,-0.6431784665365733,-0.20986187551229937
144,0.9747734282777376,0.7649115527654382
145,-0.8720359110052232,-0.1071243582397849
146,-0.1401749720603167,-0.24729933030010162
147,-0.3245486165810654,-0.571847946881167
148,0.5774189586776788,0.005571011796511798
149,-0.17587907465004315,-0.17030806285353137
150,-1.0,-1.1703080628535314
151,2.253390020200327,1.0830819573467958
152,-1.0,0.08308195734679573
153,0.09980342239528461,0.18288537974208033
154,-0.7028072444272442,-0.5199218646851639
155,0.637047736568318,0.1171258718831542
156,0.4319686391112605,0.5490945109944146
157,-0.48741200257441775,0.06168250841999694
158,-0.09803242474125573,-0.03634991632125879
159,0.3978009835591916,0.3614510672379328
160,-0.32447545243642106,0.03697561480151172
161,0.1998919722780068,0.23686758707951852
162,-0.22914257195605547,0.0077250151234630575
163,-0.016161746876681926,-0.008436731753218869
164,-1.0,-1.0084367317532188
165,2.8271432425542375,1.8187065108010187
166,-1.0,0.8187065108010186
167,-1.0,-0.18129348919898133
168,0.815787741950915,0.6344942527519336
169,-1.0,-0.36550574724806634
170,0.29376156986535906,-0.07174417738270729
171,-1.0,-1.0717441773827072
172,2.9431815759708804,1.8714373985881732
173,-1.0,0.871437398588173
174,-1.0,-0.12856260141182693
175,1.1742188865966754,1.0456562851848485
176,-1.0,0.045656285184848475
177,-0.2617737804704351,-0.21611749528558663
178,0.2190609781765629,0.0029434828909762727
179,-0.8275521110573855,-0.8246086281664092
180,0.7291613946840798,-0.09544723348232938
181,0.7292345588286924,0.633787325346363
182,-0.9968539417800089,-0.36306661643364585
183,1.2767950173974625,0.9137284009638166
184,-1.0,-0.08627159903618338
185,-1.0,-1.0862715990361833
186,2.6268929786442126,1.5406213796080293
187,-1.0,0.5406213796080291
188,-1.0,-0.4593786203919708
189,0.9524583641591586,0.49307974376718783
190,-0.8672802416028984,-0.3742004978357106
191,-0.07315661555993525,-0.4473571133956458
192,-1.0,-1.4473571133956458
193,2.710300103546476,1.2629429901508302
194,-1.0,0.26294299015083017
195,0.06248970862319281,0.325432698774023
196,-1.0,-0.6745673012259771
197,0.48289088378846423,-0.19167641743751282
198,0.4303590279289584,0.2386826104914456
199,-0.14171141909797424,0.09697119139347136
200,-0.6813701500444603,-0.584398958650989
201,0.4534788976386568,-0.1309200610123322
202,-0.21802162196907227,-0.34894168298140443
203,1.374469150506732,1.0255274675253274
204,-1.0,0.025527467525327346
205,-0.45170789998465954,-0.4261804324593322
206,1.2044356783375383,0.778255245878206
207,-1.0,-0.22174475412179392
208,-1.0,-1.2217447541217938
209,1.925980472886676,0.7042357187648821
210,-0.42222274969030293,0.28201296907457923
211,-0.34679051655500004,-0.06477754748042082
212,-1.0,-1.0647775474804206
213,1.1877542533571113,0.12297670587669056
214,-0.6551042221147074,-0.5321275162380169
215,1.6175936031822928,1.085466086944276
216,-1.0,0.08546608694427597
217,-0.10359289973476327,-0.018126812790487296
218,-0.5629173998543648,-0.5810442126448522
219,1.0622045811358505,0.48116036849099836
220,-0.5708922916213252,-0.08973192313032681
221,-0.32293900539873177,-0.41267092852905857
222,-1.0,-1.4126709285290586
223,2.2350989840375663,0.8224280555085076
224,-1.0,-0.17757194449149236
225,-0.10681212209943047,-0.2843840665909228
226,-0.14090661350679157,-0.42529068009771437
227,1.558037989436298,1.1327473093385836
228,-1.0,0.1327473093385835
229,-0.22277729137142888,-0.09002998203284536
230,-0.040086422177594616,-0.13011640421044
231,0.18489332262452574,0.05477691841408576
232,0.18086929466873936,0.2356462130828251
233,-0.32374381098991445,-0.08809759790708933
234,0.08948727799945244,0.0013896800923631043
235,-0.13695574969561775,-0.13556606960325465
236,-0.3118180554117803,-0.44738412501503494
237,-1.0,-1.447384125015035
238,1.983194834003799,0.5358107089887639
239,-1.0,-0.464189291011236
240,1.3800296255002076,0.9158403344889715
241,-1.0,-0.08415966551102845
242,0.28578667809839864,0.20162701258737017
243,-1.0,-0.7983729874126299
244,2.1802990396938644,1.3819260522812347
245,-1.0,0.3819260522812346
246,-0.04242767480640308,0.3394983774748315
247,-1.0,-0.6605016225251685
248,0.796765064341584,0.1362634418164155
249,0.10141303357764997,0.23767647539406547
250,0.06965979479903406,0.30733627019309956
251,-1.0,-0.6926637298069005
252,1.00257580324518,0.3099120734382795
253,-0.8435018945913061,-0.5335898211530267
254,0.48289088378846423,-0.050698937364562394
255,-1.0,-1.0506989373645623
256,2.007046345160067,0.9563474077955046
257,-1.0,-0.043652592204495314
258,-0.5438215581003896,-0.5874741503048849
259,0.76808471963841,0.18061056933352507
260,-0.2783820413062498,-0.09777147197272469
261,-1.0,-1.0977714719727245
262,2.4289839673629645,1.33121249539024
263,-1.0,0.33121249539023995
264,-0.4079557414832967,-0.07674324609305679
265,0.10616870297994319,0.029425456886886397
266,0.042662225422774425,0.07208768230966082
267,0.3492931556555039,0.42138083796516473
268,-0.5835496886459024,-0.1621688506807377
269,-0.17353782202120283,-0.3357066727019405
270,-0.1465402526450068,-0.4822469253469473
271,0.425676522671278,-0.05657040267566933
272,-0.6249605945184568,-0.6815309971941261
273,0.5829794336711547,-0.09855156352297141
274,-1.0,-1.0985515635229712
275,2.431398384136449,1.3328468206134778
276,-1.0,0.33284682061347776
277,-0.0940083967854376,0.23883842382804013
278,-0.46597490819166565,-0.22713648436362552
279,0.594100383658106,0.36696389929448053
280,-1.0,-0.6330361007055195
281,1.0621314169911749,0.4290953162856554
282,-0.23228863017601498,0.1968066861096404
283,-0.6949055168049598,-0.4980988306953194
284,0.9533363338950174,0.45523750319969797
285,-0.4675845193739676,-0.01234701617426966
286,-0.783068311109516,-0.7954153272837857
