Input Code,DNL,INL
0.0,0.0,0.03349106736001741
0.1001001001001001,0.09416507217040349,0.1276561395304209
0.2002002002002002,0.09416507217016679,0.2218212117005877
0.3003003003003003,0.09416507217040349,0.31598628387099115
0.4004004004004004,0.09416507217016679,0.41015135604115793
0.5005005005005005,0.09416507217052184,0.5043164282116798
0.6006006006006006,0.09416507217028514,0.5984815003819649
0.7007007007007008,0.09416507217028514,0.69264657255225
0.8008008008008008,0.09416507217028514,0.7868116447225352
0.9009009009009009,0.09416507217028514,0.8809767168928203
1.001001001001001,0.08322342144861783,0.9642001383414381
1.1011011011011012,-1.0,-0.03579986165856184
1.2012012012012012,-1.0,-1.0357998616585617
1.3013013013013013,-0.9999999999998817,-2.0357998616584436
1.4014014014014016,-1.0000000000001183,-3.0357998616585617
1.5015015015015016,-1.0,-4.035799861658561
1.6016016016016017,-1.0,-5.035799861658561
1.7017017017017018,-1.0000000000001183,-6.035799861658679
1.8018018018018018,-0.9999999999998817,-7.035799861658561
1.9019019019019021,-1.0,-8.03579986165856
2.002002002002002,-1.0,-9.03579986165856
2.1021021021021022,-1.0,-10.03579986165856
2.2022022022022023,-1.0,-11.03579986165856
2.3023023023023024,-1.0,-12.03579986165856
2.4024024024024024,-1.0,-13.03579986165856
2.5025025025025025,-1.0,-14.03579986165856
2.6026026026026026,-1.0,-15.03579986165856
2.702702702702703,-0.9999999999998817,-16.035799861658443
2.802802802802803,-1.0000000000001183,-17.03579986165856
2.902902902902903,-1.0,-18.03579986165856
3.0030030030030033,-0.844216704348219,-18.88001656600678
3.1031031031031033,4.192776521728754,-14.687240044278028
3.2032032032032034,4.192776521728636,-10.494463522549392
3.3033033033033035,4.192776521728636,-6.301687000820756
3.4034034034034035,4.192776521728754,-2.108910479092003
3.5035035035035036,4.192776521728754,2.083866042636751
3.6036036036036037,4.192776521728636,6.276642564365387
3.7037037037037037,4.192776521728636,10.469419086094023
3.8038038038038042,4.192776521728636,14.662195607822659
3.9039039039039043,4.192776521728636,18.854972129551292
4.004004004004004,3.9850654608595946,22.840037590410887
4.104104104104104,-1.0,21.840037590410887
4.2042042042042045,-1.0,20.840037590410887
4.3043043043043046,-1.0,19.840037590410887
4.404404404404405,-1.0,18.840037590410887
4.504504504504505,-1.0,17.840037590410887
4.604604604604605,-1.0,16.840037590410887
4.704704704704705,-1.0,15.840037590410887
4.804804804804805,-1.0,14.840037590410887
4.904904904904905,-1.0,13.840037590410887
5.005005005005005,-1.0,12.840037590410887
5.105105105105105,-1.0,11.840037590410887
5.205205205205205,-1.0,10.840037590410887
5.305305305305305,-1.0,9.840037590410887
5.405405405405406,-1.0,8.840037590410887
5.505505505505506,-1.0,7.840037590410887
5.605605605605606,-1.0,6.840037590410887
5.705705705705706,-1.0,5.840037590410887
5.805805805805806,-1.0,4.840037590410887
5.9059059059059065,-1.0,3.8400375904108865
6.0060060060060065,-1.0,2.8400375904108865
6.106106106106107,-1.0,1.8400375904108868
6.206206206206207,-1.0,0.8400375904108867
6.306306306306307,-1.0,-0.1599624095891133
6.406406406406407,-1.0,-1.1599624095891132
6.506506506506507,-1.0,-2.1599624095891135
6.606606606606607,-1.0,-3.1599624095891135
6.706706706706707,-1.0,-4.159962409589113
6.806806806806807,-1.0,-5.159962409589113
6.906906906906907,-1.0,-6.159962409589113
7.007007007007007,-1.0,-7.159962409589113
7.107107107107107,-1.0,-8.159962409589113
7.207207207207207,-1.0,-9.159962409589113
7.307307307307307,-1.0,-10.159962409589113
7.407407407407407,-1.0,-11.159962409589113
7.507507507507508,-1.0,-12.159962409589113
7.6076076076076085,-1.0,-13.159962409589113
7.7077077077077085,-1.0,-14.159962409589113
7.807807807807809,-1.0,-15.159962409589113
7.907907907907909,-1.0,-16.159962409589113
8.008008008008009,-0.7253058865052913,-16.885268296094406
8.108108108108109,2.433676418682793,-14.451591877411612
8.208208208208209,2.4336764186829116,-12.017915458728702
8.308308308308309,2.433676418682793,-9.584239040045908
8.408408408408409,2.4336764186829116,-7.1505626213629965
8.508508508508509,2.4336764186829116,-4.716886202680085
8.608608608608609,2.433676418682793,-2.2832097839972922
8.70870870870871,2.43367641868303,0.1504666346857381
8.80880880880881,2.433676418682793,2.584143053368531
8.90890890890891,2.433676418682793,5.0178194720513245
9.00900900900901,2.1246455410014233,7.142465013052748
9.10910910910911,-1.0,6.142465013052748
9.20920920920921,-1.0,5.142465013052748
9.30930930930931,-1.0,4.142465013052748
9.40940940940941,-0.9999999999998817,3.1424650130528655
9.50950950950951,-1.0000000000001183,2.1424650130527474
9.60960960960961,-1.0,1.1424650130527476
9.70970970970971,-1.0,0.14246501305274753
9.80980980980981,-1.0000000000001183,-0.8575349869473708
9.90990990990991,-0.9999999999998817,-1.8575349869472524
10.01001001001001,-0.8100427590925136,-2.667577746039766
10.11011011011011,0.8995724090755748,-1.768005336964191
10.21021021021021,0.8995724090754564,-0.8684329278887347
10.31031031031031,0.8995724090753381,0.03113948118660339
10.41041041041041,0.8995724090755748,0.9307118902621782
10.51051051051051,0.8995724090754564,1.8302842993376347
10.61061061061061,0.8995724090754564,2.729856708413091
10.710710710710712,0.8995724090754564,3.6294291174885474
10.810810810810812,0.8995724090754564,4.529001526564004
10.910910910910912,0.8995724090754564,5.42857393563946
11.011011011011012,0.6906194440771503,6.11919337971661
11.111111111111112,-1.0,5.11919337971661
11.211211211211213,-1.0,4.11919337971661
11.311311311311313,-1.0,3.11919337971661
11.411411411411413,-1.0,2.11919337971661
11.511511511511513,-1.0,1.11919337971661
11.611611611611613,-1.0,0.11919337971660995
11.711711711711713,-1.0,-0.8808066202833901
11.811811811811813,-1.0,-1.88080662028339
11.911911911911913,-1.0,-2.88080662028339
12.012012012012013,-0.8893333930700202,-3.7701400133534104
12.112112112112113,-0.0777782755835813,-3.8479182889369916
12.212212212212213,-0.07777827558369965,-3.9256965645206914
