MSB,LSB,16-bit HEX,Decimal Value,Analog Output (V)
0x0,0xA1,0xA1,161,0.004293802
0x0,0xA2,0xA2,162,0.004347686
0x0,0xA3,0xA3,163,0.004381704
0x0,0xA4,0xA4,164,0.004389198
0x0,0xA5,0xA5,165,0.00445932
0x0,0xA6,0xA6,166,0.004476145
0x0,0xA7,0xA7,167,0.004467217
0x0,0xA8,0xA8,168,0.004419328
0x0,0xA9,0xA9,169,0.004510761
0x0,0xAA,0xAA,170,0.004548037
0x0,0xAB,0xAB,171,0.00455879
0x0,0xAC,0xAC,172,0.004546538
0x0,0xAD,0xAD,173,0.004598815
0x0,0xAE,0xAE,174,0.00459295
0x0,0xAF,0xAF,175,0.004564764
0x0,0xB0,0xB0,176,0.004506047
0x0,0xB1,0xB1,177,0.004608069
0x0,0xB2,0xB2,178,0.004652286
0x0,0xB3,0xB3,179,0.004676236
0x0,0xB4,0xB4,180,0.004673738
0x0,0xB5,0xB5,181,0.004734942
0x0,0xB6,0xB6,182,0.004739982
0x0,0xB7,0xB7,183,0.004721822
0x0,0xB8,0xB8,184,0.004664494
0x0,0xB9,0xB9,185,0.004746629
0x0,0xBA,0xBA,186,0.004770872
0x0,0xBB,0xBB,187,0.004772371
0x0,0xBC,0xBC,188,0.004751137
0x0,0xBD,0xBD,189,0.004791411
0x0,0xBE,0xBE,190,0.00477652
0x0,0xBF,0xBF,191,0.004738907
0x0,0xC0,0xC0,192,0.004598424
0x0,0xC1,0xC1,193,0.004711199
0x0,0xC2,0xC2,194,0.004767277
0x0,0xC3,0xC3,195,0.004803207
0x0,0xC4,0xC4,196,0.004812613
0x0,0xC5,0xC5,197,0.004885917
0x0,0xC6,0xC6,198,0.004903491
0x0,0xC7,0xC7,199,0.004897832
0x0,0xC8,0xC8,200,0.004853387
0x0,0xC9,0xC9,201,0.004946959
0x0,0xCA,0xCA,202,0.004984605
0x0,0xCB,0xCB,203,0.004999659
0x0,0xCC,0xCC,204,0.004989927
0x0,0xCD,0xCD,205,0.005043789
0x0,0xCE,0xCE,206,0.00504165
0x0,0xCF,0xCF,207,0.005014279
0x0,0xD0,0xD0,208,0.004960047
0x0,0xD1,0xD1,209,0.005064057
0x0,0xD2,0xD2,210,0.005111392
0x0,0xD3,0xD3,211,0.005135558
0x0,0xD4,0xD4,212,0.005137503
0x0,0xD5,0xD5,213,0.00520038
0x0,0xD6,0xD6,214,0.005208667
0x0,0xD7,0xD7,215,0.005192288
0x0,0xD8,0xD8,216,0.005138024
0x0,0xD9,0xD9,217,0.005220713
0x0,0xDA,0xDA,218,0.005248192
0x0,0xDB,0xDB,219,0.005253884
0x0,0xDC,0xDC,220,0.005234333
0x0,0xDD,0xDD,221,0.005276845
0x0,0xDE,0xDE,222,0.005264604
0x0,0xDF,0xDF,223,0.00522975
0x0,0xE0,0xE0,224,0.005105157
0x0,0xE1,0xE1,225,0.005215499
0x0,0xE2,0xE2,226,0.00526518
0x0,0xE3,0xE3,227,0.005296331
0x0,0xE4,0xE4,228,0.005301457
0x0,0xE5,0xE5,229,0.005369993
0x0,0xE6,0xE6,230,0.005382376
0x0,0xE7,0xE7,231,0.005370613
0x0,0xE8,0xE8,232,0.005323093
0x0,0xE9,0xE9,233,0.005411463
0x0,0xEA,0xEA,234,0.005443265
0x0,0xEB,0xEB,235,0.005454311
0x0,0xEC,0xEC,236,0.005439648
0x0,0xED,0xED,237,0.005488286
0x0,0xEE,0xEE,238,0.005481009
0x0,0xEF,0xEF,239,0.005450141
0x0,0xF0,0xF0,240,0.005389675
0x0,0xF1,0xF1,241,0.005489318
0x0,0xF2,0xF2,242,0.005532503
0x0,0xF3,0xF3,243,0.005551598
0x0,0xF4,0xF4,244,0.005546591
0x0,0xF5,0xF5,245,0.005604667
0x0,0xF6,0xF6,246,0.005608371
0x0,0xF7,0xF7,247,0.00558592
0x0,0xF8,0xF8,248,0.005529202
0x0,0xF9,0xF9,249,0.005608121
0x0,0xFA,0xFA,250,0.005628823
0x0,0xFB,0xFB,251,0.005628052
0x0,0xFC,0xFC,252,0.00560457
0x0,0xFD,0xFD,253,0.005643704
0x0,0xFE,0xFE,254,0.005626705
0x0,0xFF,0xFF,255,0.005585323
0x1,0x0,0x100,256,0.005374718
0x1,0x1,0x101,257,0.005491251
0x1,0x2,0x102,258,0.00554998
0x1,0x3,0x103,259,0.005587463
0x1,0x4,0x104,260,0.005601203
0x1,0x5,0x105,261,0.005679069
0x1,0x6,0x106,262,0.005700281
0x1,0x7,0x107,263,0.005694612
0x1,0x8,0x108,264,0.005655521
0x1,0x9,0x109,265,0.005752134
0x1,0xA,0x10A,266,0.005793701
0x1,0xB,0x10B,267,0.005808875
0x1,0xC,0x10C,268,0.005805421
0x1,0xD,0x10D,269,0.005861836
0x1,0xE,0x10E,270,0.005860934
0x1,0xF,0x10F,271,0.005838994
0x1,0x10,0x110,272,0.005786913
0x1,0x11,0x111,273,0.00589518
0x1,0x12,0x112,274,0.005944307
0x1,0x13,0x113,275,0.005972742
0x1,0x14,0x114,276,0.00597611
0x1,0x15,0x115,277,0.006042691
0x1,0x16,0x116,278,0.006053997
0x1,0x17,0x117,279,0.006039389
0x1,0x18,0x118,280,0.00599024
0x1,0x19,0x119,281,0.006078067
0x1,0x1A,0x11A,282,0.006107936
0x1,0x1B,0x11B,283,0.0061153
0x1,0x1C,0x11C,284,0.006098182
0x1,0x1D,0x11D,285,0.006146874
0x1,0x1E,0x11E,286,0.006137544
0x1,0x1F,0x11F,287,0.006103689
0x1,0x20,0x120,288,0.005981605
0x1,0x21,0x121,289,0.006094956
0x1,0x22,0x122,290,0.006150687
0x1,0x23,0x123,291,0.00618275
0x1,0x24,0x124,292,0.006190331
0x1,0x25,0x125,293,0.006261529
0x1,0x26,0x126,294,0.006277028
0x1,0x27,0x127,295,0.006268165
0x1,0x28,0x128,296,0.006223209
0x1,0x29,0x129,297,0.00631586
0x1,0x2A,0x12A,298,0.006352767
0x1,0x2B,0x12B,299,0.00636465
0x1,0x2C,0x12C,300,0.006354092
0x1,0x2D,0x12D,301,0.006405022
0x1,0x2E,0x12E,302,0.00640121
0x1,0x2F,0x12F,303,0.006372872
0x1,0x30,0x130,304,0.006316327
0x1,0x31,0x131,305,0.006417817
0x1,0x32,0x132,306,0.006463718
0x1,0x33,0x133,307,0.006484376
0x1,0x34,0x134,308,0.006484604
0x1,0x35,0x135,309,0.006546352
0x1,0x36,0x136,310,0.006550566
0x1,0x37,0x137,311,0.006532851
0x1,0x38,0x138,312,0.006478902
0x1,0x39,0x139,313,0.006558712
0x1,0x3A,0x13A,314,0.006586485
0x1,0x3B,0x13B,315,0.006587474
0x1,0x3C,0x13C,316,0.006567673
0x1,0x3D,0x13D,317,0.006566739
0x1,0x3E,0x13E,318,0.006594056
0x1,0x3F,0x13F,319,0.006557757
0x1,0x40,0x140,320,0.006415645
0x1,0x41,0x141,321,0.006530331
0x1,0x42,0x142,322,0.006587713
0x1,0x43,0x143,323,0.006622035
0x1,0x44,0x144,324,0.006632408
0x1,0x45,0x145,325,0.006707168
0x1,0x46,0x146,326,0.006726045
0x1,0x47,0x147,327,0.006721472
0x1,0x48,0x148,328,0.006679134
0x1,0x49,0x149,329,0.006772543
0x1,0x4A,0x14A,330,0.006810482
